Filippino Word,English Word,Pronunciation,Example Context,Example English,Difficulty Level,Icon,Real Audio,Part of Speech
Aba,Wow,ah-bah,Aba! Ang ganda ng lugar na ito!,Wow! This place is beautiful!,1,🟢,./tagalog_audio/aba.mp3,INTJ
Abala,Busy,Ah-bah-lah,Abala ako ngayon.,I'm busy now.,2,🟡,./tagalog_audio/abala.mp3,ADJ
Abante,Advance,Ah-ban-teh,Abante ka sa pila.,Advance in the line.,3,🟠,./tagalog_audio/abante.mp3,ADJ
Abat,Intercept,Ah-bat,Abat mo ang bola.,Intercept the ball.,1,🟢,./tagalog_audio/abat.mp3,VERB
Abiso,Notice,Ah-bee-soh,Bigay mo ang abiso.,Give the notice.,3,🟠,./tagalog_audio/abiso.mp3,VERB
Abo,Ash,ah-bo,May abo sa ibabaw ng mesa.,There is ash on the table.,1,🟢,./tagalog_audio/abo.mp3,PROPN
Abogado,Lawyer,Ah-bo-gah-doh,Abogado ang tatay ko.,My dad is a lawyer.,4,🔵,./tagalog_audio/abogado.mp3,PROPN
Abot,Reach,Ah-bot,Abot mo ang libro.,Reach for the book.,1,🟢,./tagalog_audio/abot.mp3,VERB
Abril,April,Ah-breel,Nasa Abril ang birthday ko.,My birthday is in April.,3,🟠,./tagalog_audio/abril.mp3,PROPN
Abroad,Abroad,Ah-brohd,Nasa abroad ang ate ko.,My sister is abroad.,3,🟠,./tagalog_audio/abroad.mp3,ADV
Abuloy,Donation,Ah-boo-loi,Bigay ka ng abuloy.,Give a donation.,4,🔵,./tagalog_audio/abuloy.mp3,PROPN
Abusado,Abusive,ah-boo-sah-do,Abusado siya sa kanyang kapangyarihan.,He is abusive with his power.,3,🟠,./tagalog_audio/abusado.mp3,ADJ
Abusin,To abuse,ah-boo-sin,Huwag mong abusin ang kabaitan ng iba.,Do not abuse the kindness of others.,3,🟠,./tagalog_audio/abusin.mp3,PART
Abuso,Abuse,Ah-boo-soh,Huwag kang mag-abuso.,Don't abuse it.,3,🟠,./tagalog_audio/abuso.mp3,NOUN
Abutin,To reach,ah-boo-tin,Subukang abutin ang pangarap mo.,Try to reach your dream.,3,🟠,./tagalog_audio/abutin.mp3,PART
Adik,Addict,Ah-dik,Adik siya sa laro.,He's addicted to games.,1,🟢,./tagalog_audio/adik.mp3,VERB
Adobo,Adobo (dish),Ah-doh-boh,Gusto ko ng adobo.,I want adobo.,3,🟠,./tagalog_audio/adobo.mp3,PROPN
Aduro,Sleep,ah-doo-roh,Aduro ang panahon ngayon.,The weather is very hot today.,1,🟢,./tagalog_audio/aduro.mp3,VERB
Aga,Early,ah-gah,Aga mong dumating sa opisina ngayon!,You arrived early at the office today!,1,🟢,./tagalog_audio/aga.mp3,ADV
Agad,Immediately,Ah-gad,Gawin mo agad.,Do it immediately.,1,🟢,./tagalog_audio/agad.mp3,ADV
Agahan,Breakfast,Ah-gah-han,Kain tayo ng agahan.,Let's eat breakfast.,3,🟠,./tagalog_audio/agahan.mp3,NOUN
