Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Aba,Wow,ah-bah,Aba! Ang ganda ng lugar na ito!,Wow! This place is beautiful!,,1
Abala,Busy,Ah-bah-lah,Abala ako ngayon.,I'm busy now.,,2
Abante,Advance,Ah-ban-teh,Abante ka sa pila.,Advance in the line.,,3
Abat,Intercept,Ah-bat,Abat mo ang bola.,Intercept the ball.,,1
Abiso,Notice,Ah-bee-soh,Bigay mo ang abiso.,Give the notice.,,3
Abo,Ash,ah-bo,May abo sa ibabaw ng mesa.,There is ash on the table.,,1
Abogado,Lawyer,Ah-bo-gah-doh,Abogado ang tatay ko.,My dad is a lawyer.,,4
Abot,Reach,Ah-bot,Abot mo ang libro.,Reach for the book.,,1
Abril,April,Ah-breel,Nasa Abril ang birthday ko.,My birthday is in April.,,3
Abroad,Abroad,Ah-brohd,Nasa abroad ang ate ko.,My sister is abroad.,,3
Abuloy,Donation,Ah-boo-loi,Bigay ka ng abuloy.,Give a donation.,,4
Abusado,Abusive,ah-boo-sah-do,Abusado siya sa kanyang kapangyarihan.,He is abusive with his power.,,3
Abusin,To abuse,ah-boo-sin,Huwag mong abusin ang kabaitan ng iba.,Do not abuse the kindness of others.,,3
Abuso,Abuse,Ah-boo-soh,Huwag kang mag-abuso.,Don't abuse it.,,3
Abutin,To reach,ah-boo-tin,Subukang abutin ang pangarap mo.,Try to reach your dream.,,3
Adik,Addict,Ah-dik,Adik siya sa laro.,He's addicted to games.,,1
Adobo,Adobo (dish),Ah-doh-boh,Gusto ko ng adobo.,I want adobo.,,3
Aduro,Sleep,ah-doo-roh,Aduro ang panahon ngayon.,The weather is very hot today.,,1
Aga,Early,ah-gah,Aga mong dumating sa opisina ngayon!,You arrived early at the office today!,,1
Agad,Immediately,Ah-gad,Gawin mo agad.,Do it immediately.,,1
Agahan,Breakfast,Ah-gah-han,Kain tayo ng agahan.,Let's eat breakfast.,,3
Agan,Worn out,ah-gahn,Agan ang kanyang sapatos dahil sa ulan.,His shoes are worn out because of the rain.,,1
Agarang,Immediate,ah-gah-rahng,Agarang aksyon ang kailangan sa sitwasyong ito.,Immediate action is needed in this situation.,,3
Agi,Young,ah-gee,Agi ang bata sa kanyang ina.,The child resembles his mother.,,1
Agimat,Amulet,Ah-gee-mat,Suot niya ang agimat.,He is wearing an amulet.,,3
Agos,Current (water),ah-gos,Malakas ang agos ng ilog ngayon.,The river's current is strong today.,,1
Agosto,August,Ah-gos-toh,Nasa Agosto ang pista.,The fiesta is in August.,,3
Agri,Agriculture,ah-gree,Agri sector ang pinagkakaabalahan niya.,He is focused on the agriculture sector.,,1
Aguho,Typhoon,ah-goo-ho,Matindi ang aguho noong bagyo.,The landslide was severe during the storm.,,3
