Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level,Icon,Audio Link,Real Audio
Aba,Wow,ah-bah,Aba! Ang ganda ng lugar na ito!,Wow! This place is beautiful!,,1,🟢,https://example.com/audio/tagalog/aba.mp3,./tagalog_audio/aba.mp3
Abala,Busy,Ah-bah-lah,Abala ako ngayon.,I'm busy now.,,2,🟡,https://example.com/audio/tagalog/abala.mp3,./tagalog_audio/abala.mp3
Abante,Advance,Ah-ban-teh,Abante ka sa pila.,Advance in the line.,,3,🟠,https://example.com/audio/tagalog/abante.mp3,./tagalog_audio/abante.mp3
Abat,Intercept,Ah-bat,Abat mo ang bola.,Intercept the ball.,,1,🟢,https://example.com/audio/tagalog/abat.mp3,./tagalog_audio/abat.mp3
Abiso,Notice,Ah-bee-soh,Bigay mo ang abiso.,Give the notice.,,3,🟠,https://example.com/audio/tagalog/abiso.mp3,./tagalog_audio/abiso.mp3
Abo,Ash,ah-bo,May abo sa ibabaw ng mesa.,There is ash on the table.,,1,🟢,https://example.com/audio/tagalog/abo.mp3,./tagalog_audio/abo.mp3
Abogado,Lawyer,Ah-bo-gah-doh,Abogado ang tatay ko.,My dad is a lawyer.,,4,🔵,https://example.com/audio/tagalog/abogado.mp3,./tagalog_audio/abogado.mp3
Abot,Reach,Ah-bot,Abot mo ang libro.,Reach for the book.,,1,🟢,https://example.com/audio/tagalog/abot.mp3,./tagalog_audio/abot.mp3
Abril,April,Ah-breel,Nasa Abril ang birthday ko.,My birthday is in April.,,3,🟠,https://example.com/audio/tagalog/abril.mp3,./tagalog_audio/abril.mp3
Abroad,Abroad,Ah-brohd,Nasa abroad ang ate ko.,My sister is abroad.,,3,🟠,https://example.com/audio/tagalog/abroad.mp3,./tagalog_audio/abroad.mp3
Abuloy,Donation,Ah-boo-loi,Bigay ka ng abuloy.,Give a donation.,,4,🔵,https://example.com/audio/tagalog/abuloy.mp3,./tagalog_audio/abuloy.mp3
Abusado,Abusive,ah-boo-sah-do,Abusado siya sa kanyang kapangyarihan.,He is abusive with his power.,,3,🟠,https://example.com/audio/tagalog/abusado.mp3,./tagalog_audio/abusado.mp3
Abusin,To abuse,ah-boo-sin,Huwag mong abusin ang kabaitan ng iba.,Do not abuse the kindness of others.,,3,🟠,https://example.com/audio/tagalog/abusin.mp3,./tagalog_audio/abusin.mp3
Abuso,Abuse,Ah-boo-soh,Huwag kang mag-abuso.,Don't abuse it.,,3,🟠,https://example.com/audio/tagalog/abuso.mp3,./tagalog_audio/abuso.mp3
Abutin,To reach,ah-boo-tin,Subukang abutin ang pangarap mo.,Try to reach your dream.,,3,🟠,https://example.com/audio/tagalog/abutin.mp3,./tagalog_audio/abutin.mp3
Adik,Addict,Ah-dik,Adik siya sa laro.,He's addicted to games.,,1,🟢,https://example.com/audio/tagalog/adik.mp3,./tagalog_audio/adik.mp3
Adobo,Adobo (dish),Ah-doh-boh,Gusto ko ng adobo.,I want adobo.,,3,🟠,https://example.com/audio/tagalog/adobo.mp3,./tagalog_audio/adobo.mp3
Aduro,Sleep,ah-doo-roh,Aduro ang panahon ngayon.,The weather is very hot today.,,1,🟢,https://example.com/audio/tagalog/aduro.mp3,./tagalog_audio/aduro.mp3
Aga,Early,ah-gah,Aga mong dumating sa opisina ngayon!,You arrived early at the office today!,,1,🟢,https://example.com/audio/tagalog/aga.mp3,./tagalog_audio/aga.mp3
Agad,Immediately,Ah-gad,Gawin mo agad.,Do it immediately.,,1,🟢,https://example.com/audio/tagalog/agad.mp3,./tagalog_audio/agad.mp3
Agahan,Breakfast,Ah-gah-han,Kain tayo ng agahan.,Let's eat breakfast.,,3,🟠,https://example.com/audio/tagalog/agahan.mp3,./tagalog_audio/agahan.mp3
