Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Aba,Wow,ah-bah,Aba! Ang ganda ng lugar na ito!,Wow! This place is beautiful!,
Abala,Busy,Ah-bah-lah,Abala ako ngayon.,I'm busy now.,
Abante,Advance,Ah-ban-teh,Abante ka sa pila.,Advance in the line.,
Abat,Intercept,Ah-bat,Abat mo ang bola.,Intercept the ball.,
Abiso,Notice,Ah-bee-soh,Bigay mo ang abiso.,Give the notice.,
Abo,Ash,ah-bo,May abo sa ibabaw ng mesa.,There is ash on the table.,
Abogado,Lawyer,Ah-bo-gah-doh,Abogado ang tatay ko.,My dad is a lawyer.,
Abot,Reach,Ah-bot,Abot mo ang libro.,Reach for the book.,
Abril,April,Ah-breel,Nasa Abril ang birthday ko.,My birthday is in April.,
Abroad,Abroad,Ah-brohd,Nasa abroad ang ate ko.,My sister is abroad.,
Abuloy,Donation,Ah-boo-loi,Bigay ka ng abuloy.,Give a donation.,
Abusado,Abusive,ah-boo-sah-do,Abusado siya sa kanyang kapangyarihan.,He is abusive with his power.,
Abusin,To abuse,ah-boo-sin,Huwag mong abusin ang kabaitan ng iba.,Do not abuse the kindness of others.,
Abuso,Abuse,Ah-boo-soh,Huwag kang mag-abuso.,Don't abuse it.,
Abutin,To reach,ah-boo-tin,Subukang abutin ang pangarap mo.,Try to reach your dream.,
Adik,Addict,Ah-dik,Adik siya sa laro.,He's addicted to games.,
Adobo,Adobo (dish),Ah-doh-boh,Gusto ko ng adobo.,I want adobo.,
Aduro,Sleep,ah-doo-roh,Aduro ang panahon ngayon.,The weather is very hot today.,
Aga,Early,ah-gah,Aga mong dumating sa opisina ngayon!,You arrived early at the office today!,
Agad,Immediately,Ah-gad,Gawin mo agad.,Do it immediately.,
Agahan,Breakfast,Ah-gah-han,Kain tayo ng agahan.,Let's eat breakfast.,
Agan,Worn out,ah-gahn,Agan ang kanyang sapatos dahil sa ulan.,His shoes are worn out because of the rain.,
Agarang,Immediate,ah-gah-rahng,Agarang aksyon ang kailangan sa sitwasyong ito.,Immediate action is needed in this situation.,
Agi,Young,ah-gee,Agi ang bata sa kanyang ina.,The child resembles his mother.,
Agimat,Amulet,Ah-gee-mat,Suot niya ang agimat.,He is wearing an amulet.,
Agos,Current (water),ah-gos,Malakas ang agos ng ilog ngayon.,The river's current is strong today.,
Agosto,August,Ah-gos-toh,Nasa Agosto ang pista.,The fiesta is in August.,
Agri,Agriculture,ah-gree,Agri sector ang pinagkakaabalahan niya.,He is focused on the agriculture sector.,
Aguho,Typhoon,ah-goo-ho,Matindi ang aguho noong bagyo.,The landslide was severe during the storm.,
Aguinaldo,Christmas gift,ah-gwee-nahl-do,Ang aguinaldo niya ay malaking halaga.,His Christmas bonus is a large amount.,
Aha,I see,ah-ha,Aha! Alam ko na ang sagot!,Aha! I know the answer now!,
Ahas,Snake,Ah-has,Nasa puno ang ahas.,The snake is in the tree.,
Ahente,Agent,Ah-hen-teh,Ahente siya ng kompanya.,He's an agent of the company.,
Ahon,To rise,ah-hon,Kailangan kong umahon mula sa hirap.,I need to rise from hardship.,
Akala,Assumption,ah-kah-lah,Mali ang akala ko sa kanya.,I was wrong in my assumption about him.,
Akan,I will,ah-kahn,Akan ang susunod na proyekto.,I will handle the next project.,
Akin,Mine,Ah-kin,Akin ang bag na ito.,This bag is mine.,1
Aking,My,ah-king,Aking pamilya ang inspirasyon ko.,My family is my inspiration.,
Aklat,Book,ah-klat,Nagbasa siya ng aklat buong gabi.,He read a book all night.,
Ako,I,Ah-koh,Ako ang magbabayad.,I will pay.,1
Aksidente,Accident,ahk-see-den-te,Nakasama siya sa isang aksidente kahapon.,He was involved in an accident yesterday.,
Aksyon,Action,ahk-syon,Aksyon ang kailangan upang malutas ito.,Action is needed to solve this.,
Akyat,Climb,Ahk-yat,Akyat ka sa puno.,Climb the tree.,
